,game_id,outcomes
671,8153,LOSS
672,8154,LOSS
673,8155,WIN
674,8156,LOSS
675,8157,WIN
676,8158,WIN
677,8159,WIN
678,8160,WIN
679,8161,WIN
680,8162,LOSS
681,8163,WIN
682,8164,WIN
683,8165,WIN
684,8166,WIN
685,8167,LOSS
686,8168,WIN
687,8169,WIN
688,8170,LOSS
689,8171,LOSS
690,8172,WIN
691,8173,LOSS
692,8174,LOSS
693,8175,WIN
694,8176,LOSS
695,8177,WIN
696,8178,LOSS
697,8179,LOSS
698,8180,LOSS
699,8181,WIN
700,8182,WIN
701,8183,LOSS
702,8184,LOSS
703,8185,WIN
704,8186,LOSS
705,8187,WIN
706,8188,WIN
707,8189,LOSS
708,8190,LOSS
709,8191,WIN
710,8192,WIN
711,8193,WIN
712,8194,WIN
713,8195,WIN
714,8196,WIN
715,8197,WIN
716,8198,WIN
717,8199,LOSS
718,8200,WIN
719,8201,LOSS
720,8202,WIN
721,8203,WIN
722,8204,LOSS
723,8205,WIN
724,8206,WIN
725,8207,LOSS
726,8208,LOSS
727,8209,WIN
728,8210,LOSS
729,8211,WIN
730,8212,WIN
731,8213,WIN
732,8214,LOSS
733,8215,WIN
734,8216,LOSS
735,8217,WIN
736,8218,WIN
737,8219,LOSS
738,8220,WIN
739,8221,WIN
740,8222,WIN
741,8223,WIN
742,8224,LOSS
743,8225,LOSS
744,8226,LOSS
745,8227,LOSS
746,8228,LOSS
747,8229,WIN
748,8230,LOSS
749,8231,WIN
750,8232,LOSS
751,8233,WIN
752,8234,LOSS
753,8235,WIN
754,8236,LOSS
755,8237,LOSS
756,8238,LOSS
757,8239,LOSS
758,8240,WIN
759,8241,WIN
760,8242,WIN
761,8243,WIN
762,8244,WIN
763,8245,WIN
764,8246,WIN
765,8247,WIN
766,8248,WIN
767,8249,WIN
768,8250,LOSS
769,8251,LOSS
770,8252,WIN
771,8253,LOSS
772,8254,WIN
773,8255,LOSS
774,8256,WIN
775,8257,LOSS
776,8258,LOSS
777,8259,WIN
778,8260,WIN
779,8261,WIN
780,8262,WIN
781,8263,LOSS
782,8264,LOSS
783,8265,LOSS
784,8266,WIN
785,8267,LOSS
786,8268,LOSS
787,8269,LOSS
788,8270,WIN
789,8271,LOSS
790,8272,WIN
791,8273,WIN
792,8274,WIN
793,8275,LOSS
794,8276,WIN
795,8277,WIN
796,8278,WIN
797,8279,WIN
798,8280,LOSS
799,8281,WIN
800,8282,WIN
801,8283,WIN
802,8284,WIN
803,8285,LOSS
804,8286,WIN
805,8287,WIN
806,8288,WIN
807,8289,LOSS
808,8290,LOSS
809,8291,WIN
810,8292,WIN
811,8293,WIN
812,8294,WIN
813,8295,WIN
814,8296,LOSS
815,8297,WIN
816,8298,WIN
817,8299,WIN
818,8300,WIN
819,8301,WIN
820,8302,LOSS
821,8303,WIN
822,8304,LOSS
823,8305,LOSS
824,8306,LOSS
825,8307,WIN
826,8308,WIN
827,8309,LOSS
828,8310,WIN
829,8311,LOSS
830,8312,WIN
831,8313,LOSS
832,8314,LOSS
833,8315,WIN
834,8316,WIN
835,8317,WIN
836,8318,LOSS
837,8319,WIN
838,8320,WIN
839,8321,LOSS
840,8322,LOSS
841,8323,WIN
842,8324,LOSS
843,8325,LOSS
844,8326,WIN
845,8327,WIN
846,8328,WIN
847,8329,WIN
848,8330,WIN
849,8331,LOSS
850,8332,LOSS
851,8333,WIN
852,8334,WIN
853,8335,WIN
854,8336,WIN
855,8337,LOSS
856,8338,WIN
857,8339,LOSS
858,8340,WIN
859,8341,LOSS
860,8342,WIN
861,8343,WIN
862,8344,LOSS
863,8345,WIN
864,8346,WIN
865,8347,LOSS
866,8348,WIN
867,8349,WIN
868,8350,WIN
869,8351,WIN
870,8352,LOSS
871,8353,LOSS
872,8354,LOSS
873,8355,WIN
874,8356,WIN
875,8357,LOSS
876,8358,WIN
877,8359,WIN
878,8360,WIN
879,8361,WIN
880,8362,WIN
881,8363,WIN
882,8364,WIN
883,8365,WIN
884,8366,LOSS
885,8367,LOSS
886,8368,WIN
887,8369,WIN
888,8370,WIN
889,8371,LOSS
890,8372,LOSS
891,8373,WIN
892,8374,LOSS
893,8375,WIN
894,8376,WIN
895,8377,LOSS
896,8378,LOSS
897,8379,WIN
898,8380,WIN
899,8381,LOSS
900,8382,WIN
901,8383,WIN
902,8384,LOSS
903,8385,LOSS
904,8386,WIN
905,8387,LOSS
906,8388,LOSS
907,8389,WIN
908,8390,WIN
909,8391,WIN
910,8392,WIN
911,8393,WIN
912,8394,WIN
913,8395,WIN
914,8396,LOSS
915,8397,LOSS
916,8398,WIN
917,8399,WIN
918,8400,WIN
919,8401,LOSS
920,8402,WIN
921,8403,LOSS
922,8404,WIN
923,8405,WIN
924,8406,LOSS
925,8407,LOSS
926,8408,WIN
927,8409,LOSS
928,8410,WIN
929,8411,WIN
930,8412,LOSS
931,8413,WIN
932,8414,LOSS
933,8415,LOSS
934,8416,LOSS
935,8417,WIN
936,8418,LOSS
937,8419,WIN
938,8420,WIN
939,8421,WIN
940,8422,WIN
941,8423,WIN
942,8424,WIN
943,8425,WIN
944,8426,WIN
945,8427,WIN
946,8428,WIN
947,8429,LOSS
948,8430,WIN
949,8431,WIN
950,8432,WIN
951,8433,LOSS
952,8434,LOSS
953,8435,LOSS
954,8436,LOSS
955,8437,WIN
956,8438,WIN
957,8439,WIN
958,8440,LOSS
959,8441,LOSS
960,8442,LOSS
961,8443,LOSS
962,8444,WIN
963,8445,LOSS
964,8446,LOSS
965,8447,LOSS
966,8448,WIN
967,8449,LOSS
968,8450,LOSS
969,8451,WIN
970,8452,WIN
971,8453,WIN
972,8454,LOSS
973,8455,LOSS
974,8456,LOSS
975,8457,WIN
976,8458,LOSS
977,8459,WIN
978,8460,LOSS
979,8461,LOSS
980,8462,WIN
981,8463,WIN
982,8464,LOSS
983,8465,LOSS
984,8466,WIN
985,8467,WIN
986,8468,WIN
987,8469,LOSS
988,8470,WIN
989,8471,LOSS
990,8472,LOSS
991,8473,WIN
992,8474,WIN
993,8475,WIN
994,8476,WIN
995,8477,LOSS
996,8478,WIN
997,8479,WIN
998,8480,LOSS
999,8481,WIN
1000,8482,LOSS
1001,8483,WIN
1002,8484,LOSS
1003,8485,WIN
1004,8486,WIN
1005,8487,WIN
1006,8488,WIN
1007,8489,WIN
1008,8490,WIN
1009,8491,LOSS
1010,8492,WIN
1011,8493,WIN
1012,8494,WIN
1013,8495,WIN
1014,8496,WIN
1015,8497,WIN
1016,8498,WIN
1017,8499,WIN
1018,8500,WIN
1019,8501,WIN
1020,8502,LOSS
1021,8503,WIN
1022,8504,LOSS
1023,8505,WIN
1024,8506,WIN
1025,8507,LOSS
1026,8508,WIN
1027,8509,WIN
1028,8510,WIN
1029,8511,LOSS
1030,8512,WIN
1031,8513,WIN
1032,8514,WIN
1033,8515,WIN
1034,8516,WIN
1035,8517,WIN
1036,8518,WIN
1037,8519,LOSS
1038,8520,LOSS
1039,8521,LOSS
1040,8522,WIN
1041,8523,LOSS
1042,8524,WIN
1043,8525,LOSS
1044,8526,WIN
