,Unnamed: 0,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
11200,48,2016-02-05,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4695.0,HOME,LOSS,14.0
11201,49,2016-02-07,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4715.0,HOME,WIN,2.0
11202,50,2016-02-08,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4723.0,AWAY,WIN,7.0
11203,51,2016-02-10,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4733.0,HOME,LOSS,2.0
11204,52,2016-02-19,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4749.0,HOME,WIN,6.0
11205,53,2016-02-21,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4772.0,HOME,LOSS,3.0
11206,54,2016-02-23,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4784.0,AWAY,WIN,9.0
11207,55,2016-02-25,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4799.0,HOME,LOSS,16.0
11208,56,2016-02-26,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,N. Vučević,4807.0,AWAY,LOSS,13.0
11209,57,2016-02-28,ORL,A. Gordon,M. Hezonja,V. Oladipo,E. Payton,N. Vučević,4825.0,HOME,WIN,14.0
11210,58,2016-03-01,ORL,A. Gordon,M. Hezonja,V. Oladipo,E. Payton,N. Vučević,4838.0,AWAY,LOSS,13.0
11211,59,2016-03-02,ORL,A. Gordon,M. Hezonja,V. Oladipo,E. Payton,N. Vučević,4841.0,HOME,WIN,13.0
11212,60,2016-03-04,ORL,E. Fournier,A. Gordon,M. Hezonja,E. Payton,N. Vučević,4857.0,HOME,LOSS,18.0
11213,61,2016-03-07,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,J. Smith,4887.0,AWAY,LOSS,6.0
11214,62,2016-03-08,ORL,E. Fournier,A. Gordon,V. Oladipo,E. Payton,J. Smith,4893.0,AWAY,LOSS,9.0
11215,63,2016-03-11,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,C. Watson,4914.0,AWAY,WIN,7.0
11216,64,2016-03-12,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,C. Watson,4926.0,AWAY,LOSS,37.0
11217,65,2016-03-15,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,4942.0,HOME,WIN,6.0
11218,66,2016-03-16,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,4948.0,AWAY,LOSS,8.0
11219,67,2016-03-18,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,4964.0,HOME,LOSS,6.0
11220,68,2016-03-20,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,4982.0,AWAY,LOSS,5.0
11221,69,2016-03-21,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,4990.0,AWAY,LOSS,11.0
11222,70,2016-03-23,ORL,D. Dedmon,E. Fournier,A. Gordon,B. Jennings,V. Oladipo,5003.0,AWAY,LOSS,16.0
11223,71,2016-03-25,ORL,D. Dedmon,E. Fournier,A. Gordon,M. Hezonja,E. Payton,5021.0,AWAY,LOSS,11.0
11224,72,2016-03-26,ORL,D. Dedmon,E. Fournier,A. Gordon,M. Hezonja,E. Payton,5028.0,HOME,WIN,22.0
11225,73,2016-03-29,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,E. Payton,5052.0,HOME,WIN,34.0
11226,74,2016-03-31,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,E. Payton,5068.0,AWAY,WIN,20.0
11227,75,2016-04-01,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,E. Payton,5077.0,AWAY,LOSS,3.0
11228,76,2016-04-03,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,E. Payton,5092.0,HOME,WIN,12.0
11229,77,2016-04-06,ORL,D. Dedmon,E. Fournier,A. Gordon,V. Oladipo,E. Payton,5110.0,HOME,LOSS,4.0
11230,78,2016-04-08,ORL,E. Fournier,E. İlyasova,V. Oladipo,E. Payton,N. Vučević,5123.0,HOME,WIN,3.0
11231,79,2016-04-10,ORL,E. Fournier,M. Hezonja,E. İlyasova,E. Payton,N. Vučević,5144.0,AWAY,LOSS,22.0
