,slug,name,Team,Location,Opponent,Outcome,date,game_id1,game_id2,game_id3,game_id4,null_count
61919,aldrila01,LaMarcus Aldridge,PORTLAND_TRAIL_BLAZERS,AWAY,HOUSTON_ROCKETS,WIN,2015-02-08,,3392.0,3401.0,,2
177890,okafoja01,Jahlil Okafor,NEW_ORLEANS_PELICANS,AWAY,DENVER_NUGGETS,WIN,2019-03-02,,8812.0,8821.0,,2
11859,ellismo01,Monta Ellis,MILWAUKEE_BUCKS,AWAY,ATLANTA_HAWKS,LOSS,2013-03-20,1004.0,1009.0,,,2
109547,robinth01,Thomas Robinson,LOS_ANGELES_LAKERS,AWAY,SACRAMENTO_KINGS,LOSS,2016-12-12,5618.0,,5625.0,,2
143687,harriga01,Gary Harris,DENVER_NUGGETS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2018-01-17,7219.0,,7230.0,,2
94908,willima02,Marvin Williams,CHARLOTTE_HORNETS,HOME,ORLANDO_MAGIC,WIN,2016-03-16,4947.0,,4957.0,,2
54551,walkeke02,Kemba Walker,CHARLOTTE_HORNETS,AWAY,MILWAUKEE_BUCKS,WIN,2014-12-23,3041.0,,3055.0,,2
18644,geeal01,Alonzo Gee,CLEVELAND_CAVALIERS,AWAY,CHARLOTTE_BOBCATS,LOSS,2013-11-01,,1333.0,1346.0,,2
117837,clarkjo01,Jordan Clarkson,LOS_ANGELES_LAKERS,AWAY,BOSTON_CELTICS,LOSS,2017-02-03,,6001.0,6008.0,,2
136895,chalmma01,Mario Chalmers,MEMPHIS_GRIZZLIES,AWAY,CLEVELAND_CAVALIERS,LOSS,2017-12-02,6890.0,,6897.0,,2
22065,bogutan01,Andrew Bogut,GOLDEN_STATE_WARRIORS,HOME,PORTLAND_TRAIL_BLAZERS,LOSS,2013-11-23,,1499.0,,1509.0,2
183894,simonan01,Anfernee Simons,PORTLAND_TRAIL_BLAZERS,HOME,SACRAMENTO_KINGS,WIN,2019-04-10,,9099.0,,9110.0,2
84192,holmeri01,Richaun Holmes,PHILADELPHIA_76ERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2016-01-02,,4437.0,4448.0,,2
163320,knoxke01,Kevin Knox,NEW_YORK_KNICKS,AWAY,BOSTON_CELTICS,WIN,2018-11-21,8131.0,,8135.0,,2
135889,mckinal01,Alfonzo McKinnie,TORONTO_RAPTORS,AWAY,ATLANTA_HAWKS,WIN,2017-11-25,,6839.0,6848.0,,2
