,Game Date,Box Score,Team,Player1,Player2,Player3,Player4,Player5
59,2016-02-28,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
60,2016-03-01,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
61,2016-03-04,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
62,2016-03-05,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
63,2016-03-08,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
64,2016-03-10,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
65,2016-03-12,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
66,2016-03-13,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
67,2016-03-16,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
68,2016-03-17,Box Score,ATL,T. Hardaway,A. Horford,K. Korver,P. Millsap,J. Teague
69,2016-03-19,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
70,2016-03-21,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
71,2016-03-23,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
72,2016-03-25,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
73,2016-03-26,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
74,2016-03-28,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
75,2016-03-30,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
76,2016-04-01,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
77,2016-04-05,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
78,2016-04-07,Box Score,ATL,A. Horford,K. Korver,P. Millsap,T. Sefolosha,J. Teague
79,2016-04-09,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
80,2016-04-11,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
81,2016-04-13,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
0,2016-10-27,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
1,2016-10-29,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
2,2016-10-31,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
3,2016-11-02,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
4,2016-11-04,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
5,2016-11-05,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
6,2016-11-08,Box Score,ATL,K. Bazemore,D. Howard,P. Millsap,D. Schröder,T. Sefolosha
7,2016-11-09,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
8,2016-11-12,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
9,2016-11-15,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
10,2016-11-16,Box Score,ATL,K. Bazemore,K. Korver,P. Millsap,M. Muscala,D. Schröder
11,2016-11-18,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
12,2016-11-20,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
13,2016-11-22,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
14,2016-11-23,Box Score,ATL,K. Bazemore,D. Howard,P. Millsap,D. Schröder,T. Sefolosha
15,2016-11-25,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
16,2016-11-27,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
17,2016-11-28,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,P. Millsap,D. Schröder
18,2016-11-30,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,M. Muscala,D. Schröder
19,2016-12-02,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,D. Schröder,T. Sefolosha
20,2016-12-03,Box Score,ATL,K. Bazemore,D. Howard,K. Korver,M. Muscala,D. Schröder
