,name,slug,year,Team,Lineup_name
385,Zach Randolph,randoza01,2012,MEM,Z. Randolph
386,Michael Redd,reddmi01,2012,PHO,M. Redd
387,J.J. Redick,redicjj01,2012,ORL,J. Redick
388,Ryan Reid,reidry01,2012,OKC,R. Reid
389,Jason Richardson,richaja01,2012,ORL,J. Richardson
390,Quentin Richardson,richaqu01,2012,ORL,Q. Richardson
391,Luke Ridnour,ridnolu01,2012,MIN,L. Ridnour
392,Nate Robinson,robinna01,2012,GSW,N. Robinson
393,Rajon Rondo,rondora01,2012,BOS,R. Rondo
394,Derrick Rose,rosede01,2012,CHI,D. Rose
395,Ricky Rubio,rubiori01,2012,MIN,R. Rubio
396,Brandon Rush,rushbr01,2012,GSW,B. Rush
397,Walker Russell,russewa02,2012,DET,W. Russell
398,John Salmons,salmojo01,2012,SAC,J. Salmons
399,Samardo Samuels,samuesa01,2012,CLE,S. Samuels
400,Larry Sanders,sandela01,2012,MIL,L. Sanders
401,Brian Scalabrine,scalabr01,2012,CHI,B. Scalabrine
402,Luis Scola,scolalu01,2012,HOU,L. Scola
403,Thabo Sefolosha,sefolth01,2012,OKC,T. Sefolosha
404,Josh Selby,selbyjo01,2012,MEM,J. Selby
405,Kevin Séraphin,serapke01,2012,WAS,K. Séraphin
406,Ramon Sessions,sessira01,2012,CLE,R. Sessions
407,Ramon Sessions,sessira01,2012,LAL,R. Sessions
408,Iman Shumpert,shumpim01,2012,NYK,I. Shumpert
409,Xavier Silas,silasxa01,2012,PHI,X. Silas
410,Bobby Simmons,simmobo01,2012,LAC,B. Simmons
411,Chris Singleton,singlch01,2012,WAS,C. Singleton
412,James Singleton,singlja01,2012,WAS,J. Singleton
413,Brian Skinner,skinnbr01,2012,MEM,B. Skinner
414,Donald Sloan,sloando01,2012,ATL,D. Sloan
415,Donald Sloan,sloando01,2012,NOP,D. Sloan
416,Donald Sloan,sloando01,2012,CLE,D. Sloan
417,Craig Smith,smithcr01,2012,POR,C. Smith
418,Greg Smith,smithgr02,2012,HOU,G. Smith
419,Ish Smith,smithis01,2012,GSW,I. Smith
420,Ish Smith,smithis01,2012,ORL,I. Smith
421,J.R. Smith,smithjr01,2012,NYK,J. Smith
422,Jason Smith,smithja02,2012,NOP,J. Smith
423,Jerry Smith,smithje01,2012,BRK,J. Smith
424,Josh Smith,smithjo03,2012,ATL,J. Smith
425,Nolan Smith,smithno01,2012,POR,N. Smith
426,Marreese Speights,speigma01,2012,MEM,M. Speights
427,Tiago Splitter,splitti01,2012,SAS,T. Splitter
428,Jerry Stackhouse,stackje01,2012,ATL,J. Stackhouse
429,Lance Stephenson,stephla01,2012,IND,L. Stephenson
430,DeShawn Stevenson,stevede01,2012,BRK,D. Stevenson
431,Greg Stiemsma,stiemgr01,2012,BOS,G. Stiemsma
432,Julyan Stone,stoneju01,2012,DEN,J. Stone
433,Amar'e Stoudemire,stoudam01,2012,NYK,A. Stoudemire
434,Rodney Stuckey,stuckro01,2012,DET,R. Stuckey
435,DaJuan Summers,summeda01,2012,NOP,D. Summers
436,Jeff Teague,teaguje01,2012,ATL,J. Teague
437,Sebastian Telfair,telfase01,2012,PHO,S. Telfair
438,Jason Terry,terryja01,2012,DAL,J. Terry
439,Hasheem Thabeet,thabeha01,2012,HOU,H. Thabeet
440,Hasheem Thabeet,thabeha01,2012,POR,H. Thabeet
441,Isaiah Thomas,thomais02,2012,SAC,I. Thomas
442,Kurt Thomas,thomaku01,2012,POR,K. Thomas
443,Lance Thomas,thomala01,2012,NOP,L. Thomas
444,Malcolm Thomas,thomama01,2012,SAS,M. Thomas
445,Tyrus Thomas,thomaty01,2012,CHO,T. Thomas
446,Trey Thompkins,thomptr02,2012,LAC,T. Thompkins
447,Jason Thompson,thompja02,2012,SAC,J. Thompson
448,Klay Thompson,thompkl01,2012,GSW,K. Thompson
449,Mychel Thompson,thompmy02,2012,CLE,M. Thompson
