,slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
21,anunoog01,OG Anunoby,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,Team.TORONTO_RAPTORS,67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2.0,0.07,-1.3,0.1,-1.2,0.3
22,arcidry01,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],24,Team.CHICAGO_BULLS,81,1961,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12.0,11.7,2.8,0.9,3.7,0.09,-0.1,-1.0,-1.0,0.5
23,arizatr01,Trevor Ariza,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33,Team.PHOENIX_SUNS,26,884,10.5,0.525,0.612,0.189,2.0,16.4,9.1,13.5,2.1,0.8,13.7,13.8,0.2,0.5,0.6,0.035,-1.2,0.2,-1.0,0.2
24,arizatr01,Trevor Ariza,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],33,Team.WASHINGTON_WIZARDS,43,1465,13.0,0.538,0.58,0.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,0.062,0.6,-0.8,-0.2,0.7
25,augusdj01,D.J. Augustin,[<Position.POINT_GUARD: 'POINT GUARD'>],31,Team.ORLANDO_MAGIC,81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5.0,1.9,6.9,0.146,1.7,-2.0,-0.3,1.0
26,aytonde01,Deandre Ayton,[<Position.CENTER: 'CENTER'>],20,Team.PHOENIX_SUNS,71,2183,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.128,-0.1,0.2,0.2,1.2
27,bacondw01,Dwayne Bacon,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],23,Team.CHARLOTTE_HORNETS,43,759,11.7,0.57,0.339,0.179,1.1,11.7,6.3,9.2,0.8,0.6,6.1,16.8,0.9,0.3,1.2,0.073,-1.2,-2.4,-3.5,-0.3
28,baglema01,Marvin Bagley,[<Position.POWER_FORWARD: 'POWER FORWARD'>],19,Team.SACRAMENTO_KINGS,62,1567,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1.0,3.2,10.7,24.2,2.0,1.6,3.6,0.11,-1.2,-0.7,-1.8,0.1
29,bakerro01,Ron Baker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.NEW_YORK_KNICKS,11,107,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,0.002,-4.6,-1.4,-6.0,-0.1
30,bakerro01,Ron Baker,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,Team.WASHINGTON_WIZARDS,4,45,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-8.8,0.8,-8.1,-0.1
31,baldwwa01,Wade Baldwin,[<Position.POINT_GUARD: 'POINT GUARD'>],22,Team.PORTLAND_TRAIL_BLAZERS,16,94,1.3,0.396,0.273,0.333,2.3,14.4,8.5,16.6,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.153,-9.3,-1.4,-10.7,-0.2
32,balllo01,Lonzo Ball,[<Position.POINT_GUARD: 'POINT GUARD'>],21,Team.LOS_ANGELES_LAKERS,47,1423,11.7,0.487,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052,-0.9,1.5,0.5,0.9
33,bambamo01,Mo Bamba,[<Position.CENTER: 'CENTER'>],20,Team.ORLANDO_MAGIC,47,766,14.9,0.539,0.288,0.259,8.8,24.0,16.3,7.4,0.8,7.0,13.7,17.8,0.3,1.4,1.7,0.106,-3.3,3.1,-0.2,0.4
34,bareajo01,J.J. Barea,[<Position.POINT_GUARD: 'POINT GUARD'>],34,Team.DALLAS_MAVERICKS,38,752,16.3,0.495,0.332,0.203,1.9,11.6,6.8,47.5,1.4,0.1,14.7,28.1,0.4,0.6,1.0,0.064,1.1,-2.2,-1.1,0.2
35,barneha02,Harrison Barnes,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,Team.DALLAS_MAVERICKS,49,1584,13.1,0.538,0.434,0.276,2.4,11.5,7.0,6.3,1.0,0.6,7.8,23.7,0.8,1.1,1.9,0.059,-0.9,-2.1,-3.0,-0.4
36,barneha02,Harrison Barnes,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,Team.SACRAMENTO_KINGS,28,949,12.3,0.578,0.419,0.258,2.2,14.8,8.4,7.5,0.8,0.2,8.0,16.3,1.1,0.5,1.7,0.084,-0.1,-1.2,-1.2,0.2
