,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
17266,2013-01-11,NOP,A. Aminu,A. Davis,E. Gordon,R. Lopez,G. Vásquez,534,HOME,WIN,12.0
3806,2013-01-11,DET,B. Knight,J. Maxiell,G. Monroe,T. Prince,K. Singler,536,AWAY,WIN,16.0
14136,2013-01-11,UTA,D. Carroll,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,530,AWAY,LOSS,8.0
6520,2013-01-11,LAL,K. Bryant,E. Clark,S. Nash,R. Sacre,M. World Peace,539,HOME,LOSS,15.0
14678,2013-01-12,WAS,B. Beal,N. Hilário,E. Okafor,A. Price,M. Webster,542,HOME,WIN,10.0
6,2013-01-12,ATL,D. Harris,A. Horford,K. Korver,J. Smith,J. Teague,542,AWAY,LOSS,10.0
10334,2013-01-12,ORL,A. Afflalo,D. Jones,J. Nelson,A. Nicholson,N. Vučević,540,AWAY,WIN,3.0
12509,2013-01-12,SAC,D. Cousins,F. García,J. Salmons,I. Thomas,J. Thompson,547,HOME,LOSS,29.0
5977,2013-01-12,LAC,C. Butler,W. Green,B. Griffin,D. Jordan,C. Paul,540,HOME,LOSS,3.0
4893,2013-01-12,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,544,AWAY,LOSS,7.0
2724,2013-01-12,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,546,HOME,WIN,21.0
11422,2013-01-12,PHO,S. Brown,G. Dragić,M. Gortat,L. Scola,P. Tucker,545,AWAY,WIN,16.0
5435,2013-01-12,IND,R. Hibbert,G. Hill,D. McGuire,L. Stephenson,D. West,541,HOME,WIN,8.0
7065,2013-01-12,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,Z. Randolph,546,AWAY,LOSS,21.0
7610,2013-01-12,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,547,AWAY,WIN,29.0
3807,2013-01-12,DET,B. Knight,J. Maxiell,G. Monroe,T. Prince,K. Singler,543,HOME,LOSS,3.0
10879,2013-01-12,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,544,HOME,WIN,7.0
16722,2013-01-12,CHO,B. Biyombo,G. Henderson,M. Kidd-Gilchrist,K. Walker,H. Warrick,541,AWAY,LOSS,8.0
14137,2013-01-12,UTA,D. Carroll,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,543,AWAY,WIN,3.0
1636,2013-01-12,CHI,C. Boozer,L. Deng,R. Hamilton,K. Hinrich,J. Noah,545,HOME,LOSS,16.0
9792,2013-01-13,OKC,N. Collison,K. Durant,D. Liggins,K. Perkins,R. Westbrook,553,AWAY,WIN,4.0
1093,2013-01-13,BRK,K. Bogans,R. Evans,J. Johnson,B. Lopez,D. Williams,550,HOME,WIN,11.0
4348,2013-01-13,GSW,H. Barnes,S. Curry,F. Ezeli,D. Lee,K. Thompson,552,AWAY,LOSS,11.0
8701,2013-01-13,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,551,AWAY,LOSS,18.0
6521,2013-01-13,LAL,K. Bryant,E. Clark,D. Howard,S. Nash,M. World Peace,554,HOME,WIN,20.0
13593,2013-01-13,TOR,J. Calderón,E. Davis,D. DeRozan,L. Fields,A. Johnson,549,HOME,LOSS,11.0
