,name,Lineup_name
503,Shelden Williams,S. Williams
504,Terrence Williams,T. Williams
506,Metta World Peace,M. World
507,Brandan Wright,B. Wright
508,Chris Wright,C. Wright
509,Dorell Wright,D. Wright
510,Nick Young,N. Young
512,Sam Young,S. Young
514,Thaddeus Young,T. Young
0,Quincy Acy,Q. Acy
3,Josh Akognon,J. Akognon
22,Darrell Arthur,D. Arthur
32,Harrison Barnes,H. Barnes
36,Will Barton,W. Barton
41,Aron Baynes,A. Baynes
42,Kent Bazemore,K. Bazemore
43,Bradley Beal,B. Beal
47,Patrick Beverley,P. Beverley
66,Aaron Brooks,A. Brooks
89,Victor Claver,V. Claver
96,Will Conroy,W. Conroy
99,Chris Copeland,C. Copeland
104,Jae Crowder,J. Crowder
106,Jared Cunningham,J. Cunningham
111,Anthony Davis,A. Davis
117,Nando De Colo,N. De
127,Chris Douglas-Roberts,C. Douglas-Roberts
129,Andre Drummond,A. Drummond
139,Kim English,K. English
143,Festus Ezeli,F. Ezeli
150,Evan Fournier,E. Fournier
153,Joel Freeland,J. Freeland
158,Diante Garrett,D. Garrett
164,Mickaël Gelabale,M. Gelabale
177,Draymond Green,D. Green
179,Jeff Green,J. Green
186,Ben Hansbrough,B. Hansbrough
189,Maurice Harkless,M. Harkless
205,John Henson,J. Henson
215,Justin Holiday,J. Holiday
231,Bernard James,B. James
241,John Jenkins,J. Jenkins
246,Chris Johnson,C. Johnson
250,Orlando Johnson,O. Johnson
252,Darius Johnson-Odom,D. Johnson-Odom
255,DeQuan Jones,D. Jones
258,Kevin Jones,K. Jones
259,Perry Jones,P. Jones
261,Terrence Jones,T. Jones
264,Kris Joseph,K. Joseph
269,Michael Kidd-Gilchrist,M. Kidd-Gilchrist
270,Andrei Kirilenko,A. Kirilenko
275,Viacheslav Kravtsov,V. Kravtsov
276,Doron Lamb,D. Lamb
278,Jeremy Lamb,J. Lamb
285,Meyers Leonard,M. Leonard
290,Damian Lillard,D. Lillard
299,Scott Machado,S. Machado
306,Kendall Marshall,K. Marshall
324,Fab Melo,F. Melo
325,Khris Middleton,K. Middleton
329,Darius Miller,D. Miller
331,Quincy Miller,Q. Miller
343,Donatas Motiejūnas,D. Motiejūnas
344,Arnett Moultrie,A. Moultrie
347,Kevin Murphy,K. Murphy
352,Andrew Nicholson,A. Nicholson
357,Kyle O'Quinn,K. O'Quinn
359,Tim Ohlbrecht,T. Ohlbrecht
382,Miles Plumlee,M. Plumlee
386,Pablo Prigioni,P. Prigioni
390,Chris Quinn,C. Quinn
393,Shavlik Randolph,S. Randolph
400,Austin Rivers,A. Rivers
401,Brian Roberts,B. Roberts
403,Thomas Robinson,T. Robinson
406,Terrence Ross,T. Ross
407,Brandon Roy,B. Roy
410,Robert Sacre,R. Sacre
415,Mike Scott,M. Scott
420,Tornike Shengelia,T. Shengelia
422,Alexey Shved,A. Shved
423,Henry Sims,H. Sims
424,Kyle Singler,K. Singler
445,Jared Sullinger,J. Sullinger
447,Jeffery Taylor,J. Taylor
448,Tyshawn Taylor,T. Taylor
450,Marquis Teague,M. Teague
451,Mirza Teletović,M. Teletović
454,Garrett Temple,G. Temple
469,P.J. Tucker,P. Tucker
478,Jonas Valančiūnas,J. Valančiūnas
480,Jarvis Varnado,J. Varnado
487,Dion Waiters,D. Waiters
491,Rasheed Wallace,R. Wallace
497,Maalik Wayns,M. Wayns
503,James White,J. White
515,Chris Wright,C. Wright
517,Tony Wroten,T. Wroten
521,Luke Zeller,L. Zeller
522,Tyler Zeller,T. Zeller
2,Steven Adams,S. Adams
6,Alexis Ajinça,A. Ajinça
20,Giannis Antetokounmpo,G. Antetokounmpo
24,Pero Antić,P. Antić
26,Hilton Armstrong,H. Armstrong
33,Chris Babb,C. Babb
52,Anthony Bennett,A. Bennett
62,Vander Blue,V. Blue
79,Lorenzo Brown,L. Brown
84,Reggie Bullock,R. Bullock
85,Trey Burke,T. Burke
91,Dwight Buycks,D. Buycks
95,Nick Calathes,N. Calathes
97,Kentavious Caldwell-Pope,K. Caldwell-Pope
98,Isaiah Canaan,I. Canaan
101,Michael Carter-Williams,M. Carter-Williams
107,Dionte Christmas,D. Christmas
110,Ian Clark,I. Clark
119,Robert Covington,R. Covington
120,Allen Crabbe,A. Crabbe
128,Seth Curry,S. Curry
132,Troy Daniels,T. Daniels
133,Luigi Datome,L. Datome
134,Brandon Davies,B. Davies
143,Dewayne Dedmon,D. Dedmon
146,Matthew Dellavedova,M. Dellavedova
151,Gorgui Dieng,G. Dieng
161,Shane Edwards,S. Edwards
164,Melvin Ely,M. Ely
171,Vítor Faverani,V. Faverani
173,Carrick Felix,C. Felix
179,Jamaal Franklin,J. Franklin
195,Rudy Gobert,R. Gobert
198,Archie Goodwin,A. Goodwin
212,Jorge Gutiérrez,J. Gutiérrez
215,Justin Hamilton,J. Hamilton
218,Tim Hardaway,T. Hardaway
224,Elias Harris,E. Harris
226,Mike Harris,M. Harris
242,Solomon Hill,S. Hill
246,Scotty Hopson,S. Hopson
249,Robbie Hummel,R. Hummel
264,Othyus Jeffers,O. Jeffers
287,Sergey Karasev,S. Karasev
288,Ryan Kelly,R. Kelly
295,Ognjen Kuzmić,O. Kuzmić
299,Shane Larkin,S. Larkin
301,Ricky Ledo,R. Ledo
305,Alex Len,A. Len
335,Ray McCallum,R. McCallum
336,CJ McCollum,C. McCollum
338,Ben McLemore,B. McLemore
341,Gal Mekel,G. Mekel
351,Tony Mitchell,T. Mitchell
352,Tony Mitchell,T. Mitchell
365,Shabazz Muhammad,S. Muhammad
368,Erik Murphy,E. Murphy
369,Toure' Murry,T. Murry
370,Mike Muscala,M. Muscala
375,Nemanja Nedović,N. Nedović
381,James Nunnally,J. Nunnally
385,Greg Oden,G. Oden
386,Victor Oladipo,V. Oladipo
387,Kelly Olynyk,K. Olynyk
388,Arinze Onuaku,A. Onuaku
403,Mason Plumlee,M. Plumlee
406,Otto Porter,O. Porter
407,Josh Powell,J. Powell
408,Phil Pressey,P. Pressey
413,Miroslav Raduljica,M. Raduljica
418,Glen Rice,G. Rice
422,Andre Roberson,A. Roberson
435,Dennis Schröder,D. Schröder
442,Mustafa Shakur,M. Shakur
451,Peyton Siva,P. Siva
453,Chris Smith,C. Smith
459,Tony Snell,T. Snell
460,James Southerland,J. Southerland
464,D.J. Stephens,D. Stephens
480,Adonis Thomas,A. Thomas
486,Hollis Thompson,H. Thompson
513,Sasha Vujačić,S. Vujačić
519,Casper Ware,C. Ware
527,Royce White,R. White
537,Jeff Withey,J. Withey
538,Nate Wolters,N. Wolters
546,Cody Zeller,C. Zeller
1,Jordan Adams,J. Adams
7,Furkan Aldemir,F. Aldemir
17,Kyle Anderson,K. Anderson
30,Cameron Bairstow,C. Bairstow
47,Jerrelle Benimon,J. Benimon
50,Sim Bhullar,S. Bhullar
52,Tarik Black,T. Black
58,Bojan Bogdanović,B. Bogdanović
69,Jabari Brown,J. Brown
71,Markel Brown,M. Brown
84,Bruno Caboclo,B. Caboclo
90,Clint Capela,C. Capela
99,Will Cherry,W. Cherry
100,Patrick Christopher,P. Christopher
104,Jordan Clarkson,J. Clarkson
111,Jack Cooley,J. Cooley
113,Bryce Cotton,B. Cotton
135,Andre Dawkins,A. Dawkins
144,Spencer Dinwiddie,S. Dinwiddie
145,Joey Dorsey,J. Dorsey
150,Zoran Dragić,Z. Dragić
152,Larry Drew,L. Drew
158,Cleanthony Early,C. Early
161,James Ennis,J. Ennis
162,Tyler Ennis,T. Ennis
167,Dante Exum,D. Exum
177,Tim Frazier,T. Frazier
183,Langston Galloway,L. Galloway
198,Aaron Gordon,A. Gordon
200,Drew Gordon,D. Gordon
204,Jerami Grant,J. Grant
207,Erick Green,E. Green
209,JaMychal Green,J. Green
217,P.J. Hairston,P. Hairston
226,Gary Harris,G. Harris
227,Joe Harris,J. Harris
247,Rodney Hood,R. Hood
256,Joe Ingles,J. Ingles
264,Cory Jefferson,C. Jefferson
270,Grant Jerrett,G. Jerrett
278,Nick Johnson,N. Johnson
279,Tyler Johnson,T. Johnson
294,Sean Kilpatrick,S. Kilpatrick
296,Alex Kirk,A. Kirk
305,Joffrey Lauvergne,J. Lauvergne
306,Zach LaVine,Z. LaVine
324,Kalin Lucas,K. Lucas
328,Devyn Marble,D. Marble
338,James Michael McAdoo,J. Michael
341,K.J. McDaniels,K. McDaniels
343,Doug McDermott,D. McDermott
344,Mitch McGary,M. McGary
348,Jerel McNeal,J. McNeal
361,Elijah Millsap,E. Millsap
363,Nikola Mirotić,N. Mirotić
367,Eric Moreland,E. Moreland
379,Shabazz Napier,S. Napier
387,Nerlens Noel,N. Noel
388,Lucas Nogueira,L. Nogueira
392,Jusuf Nurkić,J. Nurkić
393,Johnny O'Bryant,J. O'Bryant
399,Kostas Papanikolaou,K. Papanikolaou
401,Jabari Parker,J. Parker
406,Adreian Payne,A. Payne
408,Elfrid Payton,E. Payton
419,Dwight Powell,D. Powell
432,Julius Randle,J. Randle
444,Glenn Robinson,G. Robinson
455,Damjan Rudež,D. Rudež
459,JaKarr Sampson,J. Sampson
477,Marcus Smart,M. Smart
486,Russ Smith,R. Smith
491,Nik Stauskas,N. Stauskas
494,David Stockton,D. Stockton
495,Jarnell Stokes,J. Stokes
530,Noah Vonleh,N. Vonleh
539,T.J. Warren,T. Warren
541,David Wear,D. Wear
542,Travis Wear,T. Wear
547,Shayne Whittington,S. Whittington
548,Andrew Wiggins,A. Wiggins
549,C.J. Wilcox,C. Wilcox
569,James Young,J. Young
7,Cliff Alexander,C. Alexander
16,Justin Anderson,J. Anderson
20,Thanasis Antetokounmpo,T. Antetokounmpo
23,Keith Appling,K. Appling
49,Nemanja Bjelica,N. Bjelica
57,Devin Booker,D. Booker
64,Anthony Brown,A. Brown
85,Willie Cauley-Stein,W. Cauley-Stein
89,Rakeem Christmas,R. Christmas
91,Coty Clarke,C. Clarke
97,Pat Connaughton,P. Connaughton
114,Branden Dawson,B. Dawson
116,Bryce Dejean-Jones,B. Dejean-Jones
117,Sam Dekker,S. Dekker
128,Duje Dukan,D. Dukan
133,Jarell Eddie,J. Eddie
146,Cristiano Felício,C. Felício
175,Jerian Grant,J. Grant
194,Montrezl Harrell,M. Harrell
200,Aaron Harrison,A. Harrison
207,Mario Hezonja,M. Hezonja
215,Darrun Hilliard,D. Hilliard
223,Rondae Hollis-Jefferson,R. Hollis-Jefferson
224,Richaun Holmes,R. Holmes
228,Marcelo Huertas,M. Huertas
229,Josh Huestis,J. Huestis
233,R.J. Hunter,R. Hunter
239,Damien Inglis,D. Inglis
259,Stanley Johnson,S. Johnson
262,Nikola Jokić,N. Jokić
266,Tyus Jones,T. Jones
270,Frank Kaminsky,F. Kaminsky
273,Sasha Kaun,S. Kaun
299,Kevon Looney,K. Looney
304,Trey Lyles,T. Lyles
309,Boban Marjanović,B. Marjanović
311,Jarell Martin,J. Martin
321,T.J. McConnell,T. McConnell
322,Chris McCullough,C. McCullough
328,Jordan McRae,J. McRae
332,Salah Mejri,S. Mejri
333,Jordan Mickey,J. Mickey
345,Luis Montero,L. Montero
354,Emmanuel Mudiay,E. Mudiay
356,Xavier Munford,X. Munford
358,Larry Nance,L. Nance
362,Raul Neto,R. Neto
371,J.J. O'Brien,J. O'Brien
374,Jahlil Okafor,J. Okafor
377,Kelly Oubre,K. Oubre
383,Lamar Patterson,L. Patterson
387,Cameron Payne,C. Payne
392,Tibor Pleiß,T. Pleiß
396,Bobby Portis,B. Portis
397,Kristaps Porziņģis,K. Porziņģis
399,Norman Powell,N. Powell
408,Willie Reed,W. Reed
409,Josh Richardson,J. Richardson
420,Terry Rozier,T. Rozier
424,D'Angelo Russell,D. Russell
